timestamp,outport,inport,cache_coherence_type,flit_id,flit_type,vnet,vc,src_ni,src_router,dst_ni,dst_router,traversal_id,hop_count,current_hop,hop_percentage,enqueue_time,sim,sim_traversal
11420,2,4,1,1,4,3,9,0,0,27,11,298,5,1,0.2,8,1,298
11525,2,4,1,1,4,3,9,0,0,27,11,302,5,1,0.2,8,1,302
11707,0,4,5,1,1,3,9,0,0,17,1,307,1,1,1.0,8,1,307
11714,0,4,5,2,2,3,9,0,0,17,1,307,1,1,1.0,15,1,307
11721,0,4,5,3,2,3,9,0,0,17,1,307,1,1,1.0,22,1,307
11728,0,4,5,4,2,3,9,0,0,17,1,307,1,1,1.0,29,1,307
11735,0,4,5,5,3,3,9,0,0,17,1,307,1,1,1.0,36,1,307
11736,0,4,1,1,4,3,10,0,0,17,1,309,1,1,1.0,36,1,309
11743,4,0,6,1,1,3,12,17,1,20,4,307,2,0,0.0,4,1,307
11750,4,0,6,2,2,3,12,17,1,20,4,307,2,0,0.0,11,1,307
11757,4,0,6,3,2,3,12,17,1,20,4,307,2,0,0.0,18,1,307
11764,4,0,6,4,2,3,12,17,1,20,4,307,2,0,0.0,25,1,307
11771,4,0,6,5,3,3,12,17,1,20,4,307,2,0,0.0,32,1,307
11772,4,0,2,1,4,3,9,17,1,20,4,309,2,0,0.0,32,1,309
11773,4,0,7,1,4,3,10,17,1,0,0,307,1,0,0.0,5,1,307
11824,0,1,3,1,4,3,9,20,4,17,1,309,2,2,1.0,12,1,309
11833,4,2,1,1,4,3,9,3,3,16,0,311,3,2,0.6666666666666666,12,1,311
11930,0,2,5,1,1,3,9,3,3,17,1,314,2,2,1.0,12,1,314
11937,0,2,5,2,2,3,9,3,3,17,1,314,2,2,1.0,19,1,314
