router,time
1,650766
6,650767
1,650767
14,650768
2,650770
2,650771
10,650771
6,650774
14,650775
6,650775
10,650778
10,650779
14,650782
14,650783
14,650818
13,650822
12,650826
8,650830
4,650834
0,650838
14,650840
14,650841
14,650842
14,650843
13,650844
13,650845
13,650846
14,650847
13,650847
12,650848
12,650849
12,650850
13,650851
12,650851
8,650852
8,650853
8,650854
12,650855
8,650855
4,650856
4,650857
4,650858
8,650859
4,650859
0,650860
0,650861
0,650862
4,650863
0,650863
0,650867
0,652748
1,652752
0,652755
2,652756
1,652759
3,652760
0,652762
2,652763
7,652764
1,652766
3,652767
11,652768
0,652769
2,652770
7,652771
15,652772
1,652773
3,652774
11,652775
0,652776
0,652777
2,652777
7,652778
15,652779
1,652780
3,652781
1,652781
11,652782
2,652784
2,652785
7,652785
15,652786
3,652788
11,652789
3,652789
7,652792
7,652793
15,652793
11,652796
11,652797
15,652800
15,652801
15,652836
14,652840
13,652844
12,652848
8,652852
4,652856
15,652858
15,652859
0,652860
15,652860
15,652861
14,652862
14,652863
14,652864
15,652865
14,652865
13,652866
13,652867
13,652868
14,652869
13,652869
12,652870
12,652871
12,652872
13,652873
12,652873
8,652874
8,652875
8,652876
12,652877
8,652877
4,652878
4,652879
4,652880
8,652881
4,652881
0,652882
0,652883
0,652884
4,652885
0,652885
0,652889
0,654770
0,654777
0,654784
0,654791
0,654798
0,654799
0,654834
0,654856
0,654857
0,654858
0,654859
0,654863
0,656744
1,656748
0,656751
1,656755
0,656758
1,656762
0,656765
1,656769
0,656772
0,656773
1,656776
1,656777
1,656812
0,656816
1,656834
1,656835
1,656836
1,656837
0,656838
0,656839
0,656840
1,656841
0,656841
0,656845
0,658726
1,658730
0,658733
2,658734
1,658737
0,658740
2,658741
1,658744
0,658747
2,658748
1,658751
0,658754
0,658755
2,658755
1,658758
1,658759
2,658762
2,658763
2,658798
1,658802
0,658806
2,658820
2,658821
2,658822
2,658823
1,658824
1,658825
1,658826
2,658827
1,658827
0,658828
0,658829
0,658830
1,658831
0,658831
0,658835
0,660716
1,660720
0,660723
2,660724
1,660727
3,660728
0,660730
2,660731
1,660734
3,660735
0,660737
2,660738
1,660741
3,660742
0,660744
0,660745
2,660745
1,660748
3,660749
1,660749
2,660752
2,660753
3,660756
3,660757
3,660792
2,660796
1,660800
0,660804
3,660814
3,660815
3,660816
3,660817
2,660818
2,660819
2,660820
3,660821
2,660821
1,660822
1,660823
1,660824
2,660825
1,660825
0,660826
0,660827
0,660828
1,660829
0,660829
0,660833
0,662504
1,662508
0,662511
2,662512
1,662515
3,662516
0,662518
2,662519
1,662522
3,662523
0,662525
2,662526
1,662529
3,662530
0,662532
0,662533
2,662533
1,662536
3,662537
1,662537
2,662540
2,662541
3,662544
3,662545
3,662580
2,662584
1,662588
0,662592
3,662602
3,662603
3,662604
3,662605
2,662606
2,662607
2,662608
3,662609
2,662609
1,662610
1,662611
1,662612
2,662613
1,662613
0,662614
0,662615
0,662616
1,662617
0,662617
0,662621
0,662692
1,662696
0,662699
2,662700
1,662703
3,662704
0,662706
2,662707
1,662710
3,662711
0,662713
2,662714
1,662717
3,662718
0,662720
0,662721
2,662721
1,662724
3,662725
1,662725
2,662728
2,662729
3,662732
3,662733
3,662768
2,662772
1,662776
0,662780
3,662790
3,662791
3,662792
3,662793
2,662794
2,662795
2,662796
3,662797
2,662797
1,662798
1,662799
1,662800
2,662801
1,662801
0,662802
0,662803
0,662804
1,662805
0,662805
0,662809
0,663002
1,663006
0,663009
2,663010
1,663013
6,663014
0,663016
2,663017
1,663020
6,663021
0,663023
2,663024
1,663027
6,663028
0,663030
0,663031
2,663031
1,663034
6,663035
1,663035
2,663038
2,663039
6,663042
6,663043
6,663078
5,663082
4,663086
0,663090
6,663100
6,663101
6,663102
6,663103
5,663104
5,663105
5,663106
6,663107
5,663107
4,663108
4,663109
4,663110
5,663111
4,663111
0,663112
0,663113
0,663114
4,663115
0,663115
0,663119
0,665000
1,665004
0,665007
2,665008
1,665011
3,665012
0,665014
2,665015
7,665016
1,665018
3,665019
0,665021
2,665022
7,665023
1,665025
3,665026
0,665028
0,665029
2,665029
7,665030
1,665032
3,665033
1,665033
2,665036
2,665037
7,665037
3,665040
3,665041
7,665044
7,665045
7,665080
6,665084
5,665088
4,665092
0,665096
7,665102
7,665103
7,665104
7,665105
6,665106
6,665107
6,665108
7,665109
6,665109
5,665110
5,665111
5,665112
6,665113
5,665113
4,665114
4,665115
4,665116
5,665117
4,665117
0,665118
0,665119
0,665120
4,665121
0,665121
0,665125
0,667006
4,667010
0,667013
8,667014
4,667017
0,667020
8,667021
