time_intervals,r0,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,target
28100,6,1,1,0,5,0,1,0,5,5,1,0,0,0,1,0,1
28200,7,2,1,0,5,0,0,0,5,0,0,0,5,5,5,0,1
28300,10,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28400,6,6,6,0,0,0,6,0,0,0,6,0,0,1,7,0,1
28500,7,1,1,1,6,0,0,1,6,0,0,1,6,5,5,1,1
28600,6,0,0,0,6,0,0,0,6,0,0,0,5,5,5,5,1
28700,6,1,0,0,5,1,0,0,5,5,0,0,0,0,0,0,1
28800,6,1,1,1,5,0,0,1,5,1,0,1,0,0,0,1,1
28900,6,0,0,0,5,0,0,0,5,0,0,0,5,5,5,5,1
29000,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29100,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29200,6,1,1,0,5,0,1,0,5,0,1,0,5,5,6,0,1
29300,6,6,6,6,0,0,0,6,0,0,0,6,0,0,0,0,1
29400,8,0,0,0,7,0,0,0,7,6,6,6,0,0,0,0,1
29500,5,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,1
29600,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29700,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29800,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29900,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30000,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30100,7,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30200,11,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30300,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30400,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30500,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30600,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30700,7,7,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
30800,9,3,2,2,5,0,0,0,5,0,0,0,5,5,5,0,1
30900,8,9,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1
31000,6,6,6,0,0,0,6,0,0,0,6,0,0,0,6,0,1
31100,6,0,0,0,6,0,0,0,6,0,0,0,6,6,6,0,1
31200,6,6,6,6,0,0,0,6,0,0,0,6,0,0,0,6,1
31300,6,0,0,0,6,0,0,0,6,0,0,0,6,6,6,6,1
31400,4,4,3,3,0,0,0,2,0,0,0,2,0,0,0,0,1
31500,5,2,3,3,5,0,0,4,6,6,6,10,0,0,0,0,1
31600,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31700,6,6,6,0,0,0,6,0,0,0,6,0,0,0,6,0,1
31800,12,4,4,3,6,0,0,2,6,0,0,2,6,6,6,1,1
31900,1,2,2,3,1,0,0,4,5,0,0,4,6,6,6,11,1
